iso3,xi_reliability,governance,grid_quality,sanctions_adj
ALB,0.90,0.55,0.80,1.00
ARE,0.97,0.85,0.95,1.00
ARG,0.92,0.60,0.75,1.00
ARM,0.90,0.55,0.80,1.00
AUS,1.00,0.98,1.00,1.00
AUT,1.00,0.98,1.00,1.00
AZE,0.87,0.45,0.70,0.90
BEL,1.00,0.97,1.00,1.00
BGR,0.93,0.70,0.85,1.00
BIH,0.88,0.50,0.75,1.00
BLR,0.78,0.35,0.80,0.50
BRA,0.91,0.65,0.70,1.00
CAN,0.99,0.97,1.00,1.00
CHE,1.00,1.00,1.00,1.00
CHL,0.96,0.88,0.90,1.00
CHN,0.93,0.60,0.95,0.90
COL,0.90,0.60,0.75,1.00
CZE,0.97,0.90,0.95,1.00
DEU,0.99,0.96,1.00,1.00
DNK,1.00,1.00,1.00,1.00
DZA,0.87,0.45,0.70,1.00
EGY,0.86,0.50,0.70,0.90
ESP,0.97,0.92,0.95,1.00
EST,0.98,0.93,0.95,1.00
ETH,0.82,0.40,0.55,1.00
FIN,1.00,1.00,1.00,1.00
FRA,0.99,0.95,0.98,1.00
GBR,0.99,0.95,0.98,1.00
GEO,0.91,0.70,0.80,1.00
GHA,0.87,0.65,0.60,1.00
GRC,0.95,0.85,0.90,1.00
GRL,0.98,0.95,0.85,1.00
HRV,0.95,0.83,0.90,1.00
HUN,0.94,0.82,0.92,1.00
IDN,0.89,0.65,0.70,1.00
IND,0.90,0.65,0.70,0.90
IRL,0.99,0.97,0.98,1.00
IRN,0.75,0.35,0.75,0.50
ISL,1.00,1.00,1.00,1.00
ISR,0.97,0.90,0.98,1.00
ITA,0.96,0.88,0.95,1.00
JPN,1.00,0.98,0.98,1.00
KAZ,0.88,0.50,0.80,0.80
KEN,0.87,0.60,0.60,1.00
KGZ,0.84,0.50,0.65,1.00
KOR,0.98,0.93,0.98,1.00
LTU,0.96,0.88,0.92,1.00
LVA,0.95,0.87,0.90,1.00
MAR,0.91,0.70,0.75,1.00
MDA,0.88,0.60,0.75,1.00
MEX,0.90,0.65,0.75,1.00
MKD,0.89,0.65,0.80,1.00
MNE,0.91,0.70,0.80,1.00
MYS,0.96,0.80,0.95,1.00
NGA,0.83,0.45,0.50,1.00
NLD,1.00,0.98,1.00,1.00
NOR,1.00,1.00,1.00,1.00
NPL,0.85,0.55,0.55,1.00
NZL,1.00,0.99,0.98,1.00
PAK,0.83,0.45,0.55,0.90
PHL,0.89,0.60,0.70,1.00
POL,0.96,0.87,0.92,1.00
PRT,0.97,0.92,0.95,1.00
QAT,0.97,0.82,0.95,1.00
ROU,0.93,0.75,0.85,1.00
RUS,0.78,0.40,0.85,0.50
SAU,0.95,0.75,0.95,0.90
SEN,0.89,0.65,0.65,1.00
SGP,1.00,1.00,1.00,1.00
SRB,0.90,0.65,0.80,1.00
SVK,0.96,0.87,0.92,1.00
SVN,0.97,0.92,0.95,1.00
SWE,1.00,0.99,1.00,1.00
THA,0.93,0.70,0.85,1.00
TJK,0.83,0.40,0.65,1.00
TKM,0.78,0.30,0.75,0.70
TUR,0.92,0.65,0.85,0.90
TWN,0.97,0.90,0.95,1.00
UKR,0.86,0.55,0.75,0.80
URY,0.96,0.88,0.90,1.00
USA,0.98,0.93,0.95,1.00
UZB,0.84,0.45,0.70,0.90
VNM,0.92,0.60,0.85,0.90
XKX,0.88,0.60,0.70,1.00
