iso3,country,urban_share_pct
AFG,Afghanistan,25.47
ALB,Albania,58.21
ARE,United Arab Emirates,85.67
ARG,Argentina,92.19
ARM,Armenia,65.7
AUS,Australia,87.49
AUT,Austria,69.23
AZE,Azerbaijan,58.51
BGR,Bulgaria,73.73
BIH,Bosnia and Herzegovina,51.57
BLR,Belarus,78.81
BRA,Brazil,87.62
CAN,Canada,82.53
CHE,Switzerland,85.19
CHL,Chile,88.82
CHN,China,65.53
COL,Colombia,78.28
CZE,Czechia,72.74
DEU,Germany,81.9
DNK,Denmark,88.55
DZA,Algeria,74.73
EGY,"Egypt, Arab Rep.",42.71
ESP,Spain,80.13
EST,Estonia,70.68
ETH,Ethiopia,23.06
FIN,Finland,74.01
FRA,France,78.78
GBR,United Kingdom,83.16
GEO,Georgia,60.75
GHA,Ghana,57.81
GRC,Greece,78.77
HRV,Croatia,57.24
HUN,Hungary,70.29
IDN,Indonesia,58.12
IND,India,35.07
IRL,Ireland,64.12
IRN,"Iran, Islamic Rep.",76.68
ISL,Iceland,94.15
ISR,Israel,91.51
ITA,Italy,69.54
JPN,Japan,92.08
KAZ,Kazakhstan,61.76
KEN,Kenya,31.63
KGZ,Kyrgyz Republic,34.71
KOR,"Korea, Rep.",81.16
LTU,Lithuania,68.58
LVA,Latvia,68.36
MAR,Morocco,62.67
MDA,Moldova,43.0
MEX,Mexico,79.47
MKD,North Macedonia,62.25
MNE,Montenegro,65.47
MYS,Malaysia,76.44
NGA,Nigeria,62.17
NLD,Netherlands,95.32
NOR,Norway,83.07
NPL,Nepal,66.54
NZL,New Zealand,83.89
PAK,Pakistan,38.82
PHL,Philippines,55.12
POL,Poland,59.89
PRT,Portugal,61.2
QAT,Qatar,99.28
ROU,Romania,52.16
RUS,Russian Federation,74.98
SAU,Saudi Arabia,84.3
SEN,Senegal,54.7
SGP,Singapore,100.0
SRB,Serbia,62.14
SVK,Slovak Republic,53.19
SWE,Sweden,88.63
THA,Thailand,60.93
TJK,Tajikistan,26.19
TKM,Turkmenistan,47.07
TUR,Turkiye,89.02
TWN,"Taiwan, China",79.5
UKR,Ukraine,69.48
URY,Uruguay,95.54
USA,United States,80.07
UZB,Uzbekistan,51.0
VNM,Viet Nam,38.13
XKX,Kosovo,49.11
ZAF,South Africa,63.58
